ESCOLA;FASE_IDEB;IDEB
ESCOLA MUNICIPAL BAIRRO LAGOA GRANDE;Anos Iniciais;6.5
ETELVINA DELFIM SIMOES EM;Anos Iniciais;6.1
ESCOLA MUNICIPAL PEDRO ANTONIO DE ALMEIDA;Anos Iniciais;5.4
CECILIA CRISTINA DE OLIVEIRA RODRIGUES ESCOLA MUNICIPAL;Anos Iniciais;5.4
ESCOLA MUNICIPAL MARIA IGNEZ CONCELLES IRMA INES;Anos Iniciais;5.1
AMANDA CONSUELO DA CUNHA ESCOLA MUNICIPAL;Anos Iniciais;5
ESCOLA MUNICIPAL JOAO ALVES;Anos Iniciais;4.9
HELIO LUIZ DOBROCHINSKI PROF;Anos Iniciais;6.6
PEDRO VILLAS BOAS DE SOUZA DOM;Anos Iniciais;6.4
CHACARA FLORIDA II;Anos Iniciais;6
LUIZ SCHUNCK;Anos Iniciais;5.8
JARDIM CAMPESTRE;Anos Iniciais;5.7
JOAQUIM MENDES FELIZ;Anos Iniciais;5.5
FRANCISCO DE PAULA TEIXEIRA;Anos Iniciais;5.4
LEVI PEREIRA MARTINS PROFESSOR;Anos Iniciais;5.3
NEIDE CELESTINA DE OLIVEIRA PROFA;Anos Finais;6.2
BAIRRO BOA VISTA;Anos Finais;5.7
JOAQUIM MENDES FELIZ;Anos Finais;5.6
JOAO ORTIZ RODRIGUES;Anos Finais;5.6
ALEXANDRE RODRIGUES NOGUEIRA;Anos Finais;5.2
DONIZETTI APARECIDO LEITE PROFESSOR;Anos Finais;5.2
OLIVIA DE FARIA NOGUEIRA;Anos Finais;5
LORIS NASSIF MATTAR PROFA;Anos Finais;5
LEVI PEREIRA MARTINS PROFESSOR;Anos Finais;5
MARIA ANDRE SCHUNCK DONA;Anos Finais;4.9
LEONICE DE AQUINO OLIVEIRA;Anos Finais;4.9
MARIO FRANCISCO DE AMORIM;Anos Finais;4.9
LEVI PEREIRA MARTINS PROFESSOR;Ensino Médio;4.5
LORIS NASSIF MATTAR PROFA;Ensino Médio;4.4
OLIVIA DE FARIA NOGUEIRA;Ensino Médio;4
MARIO FRANCISCO DE AMORIM;Ensino Médio;4
